Index,Book Name,Author,Rating,Number of Votes,Score
8939,Inspired by The Holy Ghost,Aimee Cabo Nikolov,4.29,423,487
8940,El padrino,Mario Puzo,4.39,434215,487
8941,"The Cheat Code (Wisdom Revolution, #3)",Misba,4.74,3734,487
8942,The Deepest Well: Healing the Long-Term Effects of Childhood Adversity,Nadine Burke Harris,4.44,9918,487
8943,Last Seen in Lapaz (Emma Djan Investigation #3),Kwei Quartey,4.1,798,487
8944,I Guess I Haven't Learned That Yet: Discovering New Ways of Living When the Old Ways Stop Working,Shauna Niequist,4.01,12622,487
8945,The Unabridged Devil's Dictionary,Ambrose Bierce,4.05,10844,486
8946,The Day After Tomorrow,Allan Folsom,4.03,7891,486
8947,The China Garden,Liz Berry,4.12,3011,486
8948,Winter in Tokyo,Ilana Tan,4.1,11861,486
8949,Master of the Senate,Robert A. Caro,4.41,22845,486
8950,"Off Armageddon Reef (Safehold, #1)",David Weber,4.14,12374,486
8951,"Dan Brown Omnibus: Angels and Demons / The da Vinci Code (Robert Langdon, #1-2)",Dan Brown,4.3,50374,486
8952,Ask the Passengers,A.S. King,3.85,25257,486
8953,Lies,T.M. Logan,3.92,39138,486
8954,Murder in the Pacific: Ifira Point (Murder in the Pacific #1),Matt Francis,4.32,174,486
8955,Palace Walk / Palace of Desire / Sugar Street (The Cairo Trilogy #1-3),Naguib Mahfouz,4.46,4798,485
8956,The Magician's Assistant,Ann Patchett,3.72,46484,485
8957,"This Heart of Mine (Chicago Stars, #5)",Susan Elizabeth Phillips,4.08,32454,485
8958,"The Fury (The Vampire Diaries, #3)",L.J. Smith,3.5,35460,485
8959,Gazing Into the Eternal,Belzebuub,4.54,70,485
8960,Micro,Michael Crichton,3.52,38804,485
8961,"The Rogue (Traitor Spy Trilogy, #2)",Trudi Canavan,4.04,17337,485
8962,"The Whisperer (Mila Vasquez, #1)",Donato Carrisi,4.18,27316,485
8963,"Pegasus and the Fight for Olympus (Pegasus, #2)",Kate O'Hearn,4.37,7494,485
8964,All Hallows Eve (New England Witch Chronicles #4),Chelsea Luna,4.31,537,485
8965,"The Accidental Vampire (Argeneau, #7)",Lynsay Sands,4.23,19632,485
8966,Messages From Heaven,Collette Sinclaire,4.25,75,485
8967,Undone,Cat Clarke,4.12,3936,485
8968,Meditation: Insights and Inspirations,Amit Ray,4.72,169,485
8969,The Road to Mecca,Muhammad Asad,4.48,5780,485
8970,Dark Tales,Shirley Jackson,4.01,8176,485
8971,The Devil and the Dark Water,Stuart Turton,3.84,56921,485
8972,"The Spanish Love Deception (Spanish Love Deception, #1)",Elena Armas,3.82,734809,485
8973,"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)",Stephanie Garber,4.06,412910,485
8974,"Desperation in Death (In Death, #55)",J.D. Robb,4.57,24379,485
8975,"Invitation Only (Private, #2)",Kate Brian,3.94,11528,484
8976,Incantation,Alice Hoffman,3.91,8813,484
8977,The Book of Awesome,Neil Pasricha,3.78,12191,484
8978,"Immortal in Death (In Death, #3)",J.D. Robb,4.28,58270,484
8979,New Yesterdays,Jim L. Wright,4.58,122,484
8980,"Stalk Me (The Keatyn Chronicles, #1)",Jillian Dodd,3.96,14867,484
8981,Some Boys,Patty Blount,4.06,9022,484
8982,"Last of the Wilds (Age of the Five, #2)",Trudi Canavan,4.06,14379,484
8983,Our Chemical Hearts,Krystal Sutherland,3.74,31249,484
8984,The Searcher,Tana French,3.8,140769,484
8985,Starfish,Lisa Fipps,4.45,30865,484
8986,A Mother's Reckoning: Living in the Aftermath of Tragedy,Sue Klebold,4.14,41998,484
8987,"The Drowning Faith (The Poppy War, #2.5)",R.F. Kuang,4.52,19108,484
8988,"Hammered (Legacy of Magic, #1)",Lindsay Buroker,4.26,7590,484
8989,The Buddha of Suburbia,Hanif Kureishi,3.74,19659,483
8990,After,Amy Efaw,3.73,19954,483
8991,"The Study Series Bundle (Study, #1-3)",Maria V. Snyder,4.46,3036,483
8992,Brightly Woven,Alexandra Bracken,3.8,9032,483
8993,My Enemy's Cradle,Sara Young,4.06,7050,483
8994,The Romance of Tristan and Iseult,Joseph Bédier,3.51,13593,483
8995,The Raging Quiet,Sherryl Jordan,4.24,4863,483
8996,"The Problem Child (The Sisters Grimm, #3)",Michael Buckley,4.29,21415,483
8997,"For You (The 'Burg, #1)",Kristen Ashley,4.19,30262,483
8998,Smack,Melvin Burgess,3.91,21446,483
8999,Leo,Mia Sheridan,3.98,41385,483
9000,Twisted,Anna Gallegos,4.5,52,483
9001,Alice's Adventures in Wonderland & Other Stories,Lewis Carroll,4.26,36475,483
9002,"The Silent Waters (Elements, #3)",Brittainy C. Cherry,4.28,38010,483
9003,A Heart So White,Javier Marías,4.02,15812,483
9004,She's Too Pretty to Burn,Wendy Heard,3.63,8933,483
9005,"Caraval (Caraval, #1)",Stephanie Garber,3.98,631181,483
9006,Darkness,John Saul,3.95,21298,483
9007,"A Study in Drowning (A Study in Drowning, #1)",Ava Reid,3.77,61942,483
9008,The Giant Under the Snow,John Gordon,3.66,485,482
9009,"Green River, Running Red",Ann Rule,3.99,18817,482
9010,Ishmael,E.D.E.N. Southworth,4.41,901,482
9011,Battle Cry of Freedom: The Civil War Era,James M. McPherson,4.39,32057,482
9012,"Dreams of a Dark Warrior (Immortals After Dark, #10)",Kresley Cole,4.34,40359,482
9013,"The Fire Eternal (The Last Dragon Chronicles, #4)",Chris d'Lacey,3.99,14249,482
9014,The Lady Elizabeth,Alison Weir,3.99,28013,482
9015,"Hillbilly Tales from the Smoky Mountains - And Other Homespun Remedies, Proverbs, and Poetry",Patricia H. Graham,3.82,56,482
9016,Southern Mystical Moments,Patricia H. Graham,4.42,101,482
9017,The Librarian of Auschwitz,Antonio Iturbe,4.15,58372,482
9018,"Rebel Spring (Falling Kingdoms, #2)",Morgan Rhodes,4.07,35418,482
9019,Austerlitz,W.G. Sebald,3.99,23462,482
9020,"A Time to Die (Out of Time, #1)",Nadine Brandes,4.2,1845,482
9021,"Leave It to Psmith (Psmith, #4)",P.G. Wodehouse,4.27,11642,482
9022,"Saga, Volume 4",Brian K. Vaughan,4.42,80434,482
9023,How to Kill an Incubus (Incubus #1),Kimber Lee,4.32,1651,482
9024,The Hungry Moon,Ramsey Campbell,3.58,1969,482
9025,"The Scum Villain's Self-Saving System: Ren Zha Fanpai Zijiu Xitong, Vol. 2",Mò Xiāng Tóng Xiù,4.42,13456,482
9026,"Legends & Lattes (Legends & Lattes, #1)",Travis Baldree,4.1,236059,482
9027,"Winter Rose (Winter Rose, #1)",Patricia A. McKillip,3.85,7477,481
9028,The Last Book in the Universe,Rodman Philbrick,3.91,9938,481
9029,Tully,Paullina Simons,3.91,11348,481
9030,Keeping You a Secret,Julie Anne Peters,3.93,36389,481
9031,"Gossip Girl (Gossip Girl, #1)",Cecily von Ziegesar,3.5,68290,481
9032,"Rakkety Tam (Redwall, #17)",Brian Jacques,4.17,11076,481
9033,Entangled,Cat Clarke,3.71,6751,481
9034,The Icarus Girl,Helen Oyeyemi,3.64,5311,481
9035,An Enquiry Concerning Human Understanding,David Hume,3.94,21067,481
9036,The Night in Lisbon,Erich Maria Remarque,4.32,21630,481
9037,Mourning Grey: Part One: The Guardians Of The Temple Saga,Marie Montine,4.38,409,481
9038,"The Scum Villain's Self-Saving System: Ren Zha Fanpai Zijiu Xitong, Vol. 1",Mò Xiāng Tóng Xiù,4.42,17957,481
9039,"The Sinner (L.O.R.D.S., #2)",Shantel Tessier,4.04,103410,481
9040,"Death's Mistress (Dorina Basarab, #2)",Karen Chance,4.2,17467,480
9041,"One Good Knight (Five Hundred Kingdoms, #2)",Mercedes Lackey,3.88,10978,480
9042,"Moonlight (Dark Guardian, #1)",Rachel Hawthorne,3.8,13107,480
9043,"13 Gifts (Willow Falls, #3)",Wendy Mass,4.23,15136,480
9044,Underground: The Tokyo Gas Attack and the Japanese Psyche,Haruki Murakami,3.91,20810,480
9045,"The Jefferson Key (Cotton Malone, #7)",Steve Berry,3.92,21537,480
9046,The Plum Tree,Ellen Marie Wiseman,4.13,23185,480
9047,Room on the Broom,Julia Donaldson,4.46,24016,480
9048,Parce que je t'aime,Guillaume Musso,4.06,25121,480
9049,"Murder of Crows (The Others, #2)",Anne Bishop,4.27,45281,480
9050,A Woman Is No Man,Etaf Rum,4.26,158848,480
9051,Free to Choose: A Personal Statement,Milton Friedman,4.22,9048,479
9052,"The Black Swan (Fairy Tales, #2)",Mercedes Lackey,3.86,8740,479
9053,Zofloya,Charlotte Dacre,3.6,2368,479
9054,"What the Heart Wants (Soulmate, #1)",Kelli McCracken,3.76,2707,479
9055,"Born of Silence (The League: Nemesis Rising, #5)",Sherrilyn Kenyon,4.49,11994,479
9056,"Zombie Fallout (Zombie Fallout, #1)",Mark Tufo,4.04,12580,479
9057,"Rock Chick Revenge (Rock Chick, #5)",Kristen Ashley,4.47,34963,479
9058,"Ender's Game, Volume 1: Battle School (Ender's Saga)",Christopher Yost,4.43,51274,479
9059,"Morrigan's Cross (Circle Trilogy, #1)",Nora Roberts,4.14,55678,479
9060,The Lonely City: Adventures in the Art of Being Alone,Olivia Laing,3.92,30621,479
9061,"The Cheat Code (Wisdom Revolution, #3)",Misba,4.74,3734,479
9062,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,4.3,289095,479
9063,Dio di illusioni,Donna Tartt,4.17,830772,479
9064,The Traveler's Gift: Seven Decisions that Determine Personal Success,Andy Andrews,4.08,18637,478
9065,"Act of Treason (Mitch Rapp, #9)",Vince Flynn,4.32,52122,478
9066,Rectoverso,Dee Lestari,3.9,7336,478
9067,"The Secret Life of Plants: A Fascinating Account of the Physical, Emotional and Spiritual Relations Between Plants and Man",Peter Tompkins,3.99,3080,478
9068,"Dust of Dreams (Malazan Book of the Fallen, #9)",Steven Erikson,4.3,30741,478
9069,Politics,Aristotle,3.98,40138,478
9070,Marie Antoinette: The Journey,Antonia Fraser,3.93,37474,478
9071,The Wonderful Story of Henry Sugar and Six More,Roald Dahl,4.12,24251,478
9072,White Collar Blackmail,Peter Ralph,4.28,510,478
9073,Four Dead Queens,Astrid Scholte,3.8,26662,478
9074,Tan poca vida,Hanya Yanagihara,4.32,730641,478
9075,"Betsy and Tacy Go Downtown (Betsy-Tacy, #4)",Maud Hart Lovelace,4.23,7327,477
9076,Los ojos del perro siberiano,Antonio Santa Ana,4.17,12817,477
9077,Waiting to Live,Asa Don Brown,4.37,63,477
9078,A Separate Reality: Further Conversations with Don Juan,Carlos Castaneda,4.08,18703,477
9079,The Mysterious Mr. Quin,Agatha Christie,3.74,16139,477
9080,Almost Perfect,Brian Katcher,3.84,9009,477
9081,The Tide Knot,Helen Dunmore,3.99,5523,477
9082,"If I Die (Soul Screamers, #5)",Rachel Vincent,4.3,16096,477
9083,The Art of Dreaming,Carlos Castaneda,4.01,5706,477
9084,"Creep (Creep, #1)",Jennifer Hillier,3.91,24347,477
9085,"The Case of the Displaced Detective: The Arrival (Displaced Detective, #1)",Stephanie Osborn,3.79,126,477
9086,"Vampire Academy (Vampire Academy, #1-6)",Richelle Mead,4.53,9304,477
9087,The Shadowhunter's Codex,Cassandra Clare,3.91,38573,477
9088,"Faithless (Grant County, #5)",Karin Slaughter,4.11,46258,477
9089,خداحافظ گاری کوپر,Romain Gary,3.86,8341,477
9090,"City Spies (City Spies, #1)",James Ponti,4.31,12068,477
9091,Little Altars Everywhere,Rebecca Wells,3.59,30516,476
9092,Tinkers,Paul Harding,3.41,36752,476
9093,"Safe House (1-800-Where-R-You, #3)",Jenny Carroll,4.1,11919,476
9094,"The Madness of Lord Ian Mackenzie (Mackenzies & McBrides, #1)",Jennifer Ashley,4.04,38972,476
9095,"A Beautiful Dark (A Beautiful Dark, #1)",Jocelyn Davies,3.89,17926,476
9096,"Underworld (Abandon, #2)",Meg Cabot,3.86,23252,476
9097,"Saga of Darren Shan Box Set (The Saga of Darren Shan, #1-6)",Darren Shan,4.55,2837,476
9098,"The Expats (Kate Moore, #1)",Chris Pavone,3.5,37818,476
9099,The Complete Malazan Book of the Fallen (Malazan Book of the Fallen #1-10),Steven Erikson,4.74,2611,476
9100,The Absolutist,John Boyne,4.1,21071,476
9101,Effacement,Hieronymus Hawkes,4.21,452,476
9102,She Drives Me Crazy,Kelly Quindlen,3.96,70203,476
9103,Things Have Gotten Worse Since We Last Spoke,Eric LaRocca,2.95,51442,476
9104,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.31,3161858,476
9105,Chapterhouse: Dune (Dune #6),Frank Herbert,3.88,73189,475
9106,Désirée,Annemarie Selinko,4.15,11655,475
9107,The Magic Finger,Roald Dahl,3.7,42012,475
9108,"Gregor and the Marks of Secret (Underland Chronicles, #4)",Suzanne Collins,4.25,38959,475
9109,The Counterfeiters,André Gide,3.83,9739,475
9110,The Children of Noisy Village,Astrid Lindgren,4.32,14854,475
9111,"Red: The Heroic Rescue (The Circle, #2)",Ted Dekker,4.28,28700,475
9112,"The Strange Affair of Spring Heeled Jack (Burton & Swinburne, #1)",Mark Hodder,3.7,7328,475
9113,The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,4.2,36515,475
9114,"Necropolis (Power of Five, #4)",Anthony Horowitz,4.13,12980,475
9115,"The Case of the Cosmological Killer: Endings and Beginnings (Displaced Detective, #4)",Stephanie Osborn,4.29,51,475
9116,Maya's Notebook,Isabel Allende,3.88,30796,475
9117,Cosmos,Witold Gombrowicz,4.01,4332,475
9118,Longbourn,Jo Baker,3.66,60028,475
9119,Lady of Hay,Barbara Erskine,4.07,8115,475
9120,"Blackwater: The Complete Caskey Family Saga (Blackwater, #1-6)",Michael McDowell,4.4,4877,475
9121,"The Thousandth Floor (The Thousandth Floor, #1)",Katharine McGee,3.66,46274,475
9122,"Bring Me Their Hearts (Bring Me Their Hearts, #1)",Sara Wolf,4.02,12507,475
9123,Feminism Is for Everybody: Passionate Politics,bell hooks,4.16,25233,475
9124,I Want to Eat Your Pancreas,Yoru Sumino,4.37,14234,475
9125,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.34,9014079,475
9126,The Icarus Agenda,Robert Ludlum,3.98,31650,475
9127,Weyward,Emilia Hart,4.07,235065,475
9128,All the Names,José Saramago,3.91,22539,474
9129,"At Swim, Two Boys",Jamie O'Neill,4.1,9453,474
9130,"The Sword Thief (The 39 Clues, #3)",Peter Lerangis,3.9,51106,474
9131,The Best of Myles,Myles na Gopaleen,4.21,712,474
9132,"Code Name Cassandra (1-800-Where-R-You, #2)",Jenny Carroll,4.06,13034,474
9133,"How to Flirt with a Naked Werewolf (Naked Werewolf, #1)",Molly Harper,3.96,20701,474
9134,"The Search for WondLa (The Search for WondLa, #1)",Tony DiTerlizzi,4.1,13313,474
9135,"I'll Be Your Drill, Soldier",Crystal Rose,4.07,5417,474
9136,Sing Me to Sleep,Angela Morrison,3.95,6517,474
9137,"James Potter and the Hall of Elders' Crossing (James Potter, #1)",G. Norman Lippert,3.77,24363,474
9138,Euclid's Elements,Euclid,4.32,3277,474
9139,"The Case of the Cosmological Killer: The Rendlesham Incident (Displaced Detective, #3)",Stephanie Osborn,4.28,50,474
9140,"Sheepfarmer's Daughter (The Deed of Paksenarrion, #1)",Elizabeth Moon,4.13,13246,474
9141,Secret Deceptions (Amatore's Restaurant #1),James Sillwood,4.33,61,474
9142,The Library of Babel,Jorge Luis Borges,4.35,9692,474
9143,Zen in the Art of Writing: Releasing the Creative Genius Within You,Ray Bradbury,4.08,20295,474
9144,Night of the Rat,Tanya Thompson,4.25,5152,474
9145,"Después de diciembre (Meses a tu lado, #2)",Joana Marcús,4.34,74516,474
9146,Open Water,Caleb Azumah Nelson,4.03,70211,474
9147,"Well-Schooled in Murder (Inspector Lynley, #3)",Elizabeth George,4.12,27097,473
9148,"Love Bites (Vampire Kisses, #7)",Ellen Schreiber,4.13,19771,473
9149,"TimeRiders (TimeRiders, #1)",Alex Scarrow,3.82,12738,473
9150,El caballero de la armadura oxidada,Robert Fisher,3.82,28223,473
9151,"I Spit on Your Graves (Vernon Sullivan, #1)",Boris Vian,3.57,11340,473
9152,"Nightrise (Power of Five, #3)",Anthony Horowitz,4.03,15181,473
9153,Monster,Walter Dean Myers,3.73,72907,473
9154,The Essays of Warren Buffett : Lessons for Corporate America,Warren Buffett,4.31,7336,473
9155,"From Ashes (From Ashes, #1)",Molly McAdams,4.12,28038,473
9156,Torn,Cat Clarke,3.83,4115,473
9157,Seras-tu là?,Guillaume Musso,3.97,10810,473
9158,"White Hot (Hidden Legacy, #2)",Ilona Andrews,4.45,48746,473
9159,"The Near Witch (The Near Witch, #1)",Victoria E. Schwab,3.66,41644,473
9160,A Guide to the Good Life: The Ancient Art of Stoic Joy,William B. Irvine,4.19,25486,473
9161,Alternatives to a Frozen Mouse,A.J. Mouse,4.19,372,473
9162,"The Forgotten (John Puller, #2)",David Baldacci,4.15,65830,473
9163,The Course of Love,Alain de Botton,4.02,45615,473
9164,"Dune (Dune, #1)",Frank Herbert,4.28,1462391,473
9165,"Marlfox (Redwall, #11)",Brian Jacques,4.04,17699,472
9166,"Kissing Coffins (Vampire Kisses, #2)",Ellen Schreiber,3.88,26667,472
9167,"Ninth Grade Slays (The Chronicles of Vladimir Tod, #2)",Heather Brewer,4.13,25548,472
9168,The Sandman: Book of Dreams,Neil Gaiman,4.28,8999,472
9169,The E-myth Revisited,Michael E. Gerber,4.07,89275,472
9170,El coronel no tiene quien le escriba,Gabriel García Márquez,3.79,57236,472
9171,"The Earthsea Quartet (Earthsea Cycle, #1-4)",Ursula K. Le Guin,4.3,11983,472
9172,The Language Instinct: How the Mind Creates Language,Steven Pinker,4.01,22005,472
9173,"The One (Species Intervention #6609, #6)",J.K. Accinni,4.49,271,472
9174,The Golden Goblet,Eloise Jarvis McGraw,3.82,9485,472
9175,"How the Light Gets In (Chief Inspector Armand Gamache, #9)",Louise Penny,4.48,89354,472
9176,"I Feel Bad About My Neck, And Other Thoughts on Being a Woman",Nora Ephron,3.74,78833,472
9177,"They Both Die at the End (Death-Cast, #1)",Adam Silvera,3.76,790318,472
9178,"Seis de cuervos (Seis de cuervos, #1)",Leigh Bardugo,4.48,1017160,472
9179,"Fell (The Sight, #2)",David Clement-Davies,4.18,6222,471
9180,"The Sandman, Vol. 8: Worlds' End",Neil Gaiman,4.44,53403,471
9181,The Jester,James Patterson,3.81,20613,471
9182,Travels with My Aunt,Graham Greene,3.8,15843,471
9183,"Goddess Boot Camp (Oh. My. Gods., #2)",Tera Lynn Childs,3.89,11421,471
9184,"Tales of the Otherworld (Otherworld Stories, #2)",Kelley Armstrong,4.24,11105,471
9185,Gamer Girl,Mari Mancusi,3.76,4640,471
9186,The Red Garden,Alice Hoffman,3.74,24272,471
9187,"Magnificat (Galactic Milieu Trilogy, #3)",Julian May,4.24,3588,471
9188,"Crystal Singer (Crystal Singer, #1)",Anne McCaffrey,4.13,21402,471
9190,"King of Thorns (The Broken Empire, #2)",Mark Lawrence,4.18,67786,471
9191,"Seven Sons (Gypsy Brothers, #1)",Lili St. Germain,3.94,16817,471
9192,"Love in the Afternoon (The Hathaways, #5)",Lisa Kleypas,4.2,50870,471
9193,"Twice Upon a Time (Half Upon a Time, #2)",James Riley,4.32,4511,471
9194,Romancero gitano,Federico García Lorca,4.22,12257,471
9195,So Good They Can't Ignore You: Why Skills Trump Passion in the Quest for Work You Love,Cal Newport,4.08,46292,471
9196,I Am Princess X,Cherie Priest,4.06,13738,471
9197,Laura Dean Keeps Breaking Up with Me,Mariko Tamaki,3.86,65801,471
9198,The Spy and the Traitor: The Greatest Espionage Story of the Cold War,Ben Macintyre,4.51,74684,471
9199,"El nombre del viento (Crónica del asesino de reyes, #1)",Patrick Rothfuss,4.52,1001032,471
9200,"La sombra del viento (El cementerio de los libros olvidados, #1)",Carlos Ruiz Zafón,4.3,661966,471
9201,"The Goal (Off-Campus, #4)",Elle Kennedy,3.9,273286,471
9202,Refuge: An Unnatural History of Family and Place,Terry Tempest Williams,4.18,10425,470
9203,"Eragon & Eldest (The Inheritance Cycle, #1-2)",Christopher Paolini,4.31,25913,470
9204,The Real Mother Goose,Blanche Fisher Wright,4.32,36311,470
9205,The Children's Hour,Lillian Hellman,3.96,14618,470
9206,"Slawter (The Demonata, #3)",Darren Shan,4.17,15244,470
9207,Black Lamb and Grey Falcon,Rebecca West,4.21,2525,470
9208,"The Case of the Displaced Detective: At Speed (Displaced Detective, #2)",Stephanie Osborn,4.27,74,470
9209,"Two Truths and a Lie (The Lying Game, #3)",Sara Shepard,3.95,16525,470
9210,حياة في الإدارة,Ghazi A. Algosaibi,4.49,14175,470
9211,Devil's Bait,Debbie Boek,4.17,132,470
9212,The Shallows: What the Internet Is Doing to Our Brains,Nicholas Carr,3.89,30845,470
9213,"İnce Memed 1 (İnce Memed, #1)",Yaşar Kemal,4.49,11311,470
9214,Dostoevsky: A Writer in His Time,Joseph Frank,4.51,1029,470
9215,"The Auction (Rights and Wrongs, #3)",LovesBitca8,4.49,15173,470
9216,Stranger on the Shore,William J. Borak,4.38,280,470
9217,"Rapture (Shadowdwellers, #2)",Jacquelyn Frank,4.23,6347,469
9218,Rimas y leyendas,Gustavo Adolfo Bécquer,4.08,12586,469
9219,"The Face on the Milk Carton (Janie Johnson, #1)",Caroline B. Cooney,3.7,62843,469
9220,The Lake of Dead Languages,Carol Goodman,3.78,15046,469
9221,Total Control,David Baldacci,4.14,45476,469
9222,Wieland and Memoirs of Carwin the Biloquist,Charles Brockden Brown,3.38,2162,469
9223,The Lady and the Unicorn,Tracy Chevalier,3.7,46102,469
9224,The Daughter of Ares Chronicles: The Complete Trilogy,Shannon McRoberts,4.65,93,469
9225,"Le Comte de Monte-Cristo I (Le Comte de Monte-Cristo, #1 of 2)",Alexandre Dumas,4.53,15053,469
9226,The Fish the Fighters and the Song-Girl,Janet E. Morris,4.58,161,469
9227,Journey to the River Sea,Eva Ibbotson,4.2,16518,469
9228,Is Goat Beef?,Jeffery M. Camp,4.16,229,469
9229,"The Silver Eyes (Five Nights at Freddy's, #1)",Scott Cawthon,4.1,20894,469
9230,Société,Alexander Helas,4.27,386,469
9231,Instructions for Dancing,Nicola Yoon,3.97,53293,469
9232,"Bridge of Birds (The Chronicles of Master Li and Number Ten Ox, #1)",Barry Hughart,4.27,10493,468
9233,"Beauty's Punishment (Sleeping Beauty, #2)",A.N. Roquelaure,3.62,28889,468
9234,Appointment in Samarra,John O'Hara,3.81,15710,468
9235,Железният светилник,Димитър Талев,4.48,8752,468
9236,Touching Spirit Bear,Ben Mikaelsen,3.86,34180,468
9237,"The Assassin's Curse (The Assassin's Curse, #1)",Cassandra Rose Clarke,3.67,18569,468
9238,"The Madness Underneath (Shades of London, #2)",Maureen Johnson,3.88,17793,468
9239,Nutuk,Mustafa Kemal Atatürk,4.81,5158,468
9240,Sodom and Gomorrah,Marcel Proust,4.32,8889,468
9241,Landfill Dogs book,Shannon Johnstone,4.6,10,468
9242,"La última nota (Canciones para ella, #1)",Joana Marcús,4.5,41773,468
9243,Komt een vrouw bij de dokter,Kluun,3.72,9056,467
9244,"Twilight (Warriors: The New Prophecy, #5)",Erin Hunter,4.31,27828,467
9245,La Confusion des sentiments,Stefan Zweig,4.02,10556,467
9246,Fermat's Enigma,Simon Singh,4.29,31757,467
9247,"A Dog's Journey (A Dog's Purpose, #2)",W. Bruce Cameron,4.4,31513,467
9248,"Tales from a Not-So-Smart Miss Know-It-All (Dork Diaries, #5)",Rachel Renée Russell,4.34,33584,467
9249,Pirate Latitudes,Michael Crichton,3.5,51281,467
9250,"Gentlemen and Players (Malbry, #1)",Joanne Harris,3.94,18491,467
9251,Goodbye Tsugumi,Banana Yoshimoto,3.76,13898,467
9252,The Wild Girl,Kate Forsyth,3.94,4172,467
9253,"The Queen's Rising (The Queen’s Rising, #1)",Rebecca Ross,3.97,22456,467
9254,"El príncipe cruel (Los habitantes del aire, #1)",Holly Black,4.03,1401089,467
9255,"A Killer's Mind (Zoe Bentley Mystery, #1)",Mike Omer,4.21,58763,467
9256,Het huis van de moskee,Kader Abdolah,4.12,13493,466
9257,Unless,Carol Shields,3.63,16731,466
9258,Silence of the Grave (Inspector Erlendur #4),Arnaldur Indriðason,3.96,20624,466
9259,"Wicked Appetite (Lizzy & Diesel, #1)",Janet Evanovich,3.79,60331,466
9260,Raja Gidh / راجه گدھ,Bano Qudsia,4.18,3227,466
9261,Major Pettigrew's Last Stand,Helen Simonson,3.9,142955,466
9262,"Das zweite Buch der Träume (Silber, #2)",Kerstin Gier,4.08,35462,466
9263,"First Year (The Black Mage, #1)",Rachel E. Carter,3.94,22735,466
9264,"Darius the Great Is Not Okay (Darius The Great, #1)",Adib Khorram,4.24,34783,466
9265,The Falling in Love Montage,Ciara Smyth,3.81,28588,466
9266,Lost Connections: Uncovering the Real Causes of Depression - and the Unexpected Solutions,Johann Hari,4.27,37766,466
9267,My Graphic Bipolar Fantasies: & Other Short Stories,R.B. Le`Deach,4.3,340,466
9268,All Hallows,Christopher Golden,3.53,9158,466
9269,"The Bourne Legacy (Jason Bourne, #4)",Eric Van Lustbader,3.9,30896,466
9270,"Suffering, Redemption and Triumph: The first wave of post-war Australian immigrants 1945-66",Peter Brune,4.26,177,466
9271,Ring Of Love,Marion Catteral,4.45,197,466
9272,The Treasure of the Sierra Madre,B. Traven,4.1,2809,465
9273,Henderson the Rain King,Saul Bellow,3.76,15647,465
9274,De helaasheid der dingen,Dimitri Verhulst,3.8,13783,465
9275,Vlad: The Last Confession,C.C. Humphreys,3.91,3362,465
9276,"Three Act Tragedy (Hercule Poirot, #11)",Agatha Christie,3.84,42185,465
9277,"Beyond the Grave (The 39 Clues, #4)",Jude Watson,3.93,47516,465
9278,"Spy School (Spy School, #1)",Stuart Gibbs,4.1,32889,465
9279,"Dragonslayer (Wings of Fire: Legends, #2)",Tui T. Sutherland,4.51,9332,465
9280,Magical Elements of the Periodic Table Presented Alphabetically by the Metal Horn Unicorns,Sybrina Durant,4.47,316,465
9281,The Last Cato (Catón #1),Matilde Asensi,3.94,11703,464
9282,After the Quake,Haruki Murakami,3.77,54651,464
9283,"Anne of Ingleside (Anne of Green Gables, #6)",L.M. Montgomery,4.03,67783,464
9284,"Among the Enemy (Shadow Children, #6)",Margaret Peterson Haddix,4.16,19921,464
9285,"Reckless (Mirrorworld, #1)",Cornelia Funke,3.75,21852,464
9286,Love the One You're With,Emily Giffin,3.76,184816,464
9287,"All In (The Blackstone Affair, #2)",Raine Miller,4.09,55040,464
9288,"Forever with You (Fixed, #3)",Laurelin Paige,4.3,32317,464
9289,"Skinned (Cold Awakening, #1)",Robin Wasserman,3.54,12911,464
9290,5 cm,Donny Dhirgantoro,3.89,15249,464
9291,"Half Upon a Time (Half Upon a Time, #1)",James Riley,4.18,7970,464
9292,Follow You Home,Mark Edwards,3.91,51040,464
9293,Martin Swans Diary: Black Water Crossing,Kyle Keyes,4.41,490,464
9294,Girl in the Blue Coat,Monica Hesse,4.04,41911,464
9295,"Her Royal Highness (Royals, #2)",Rachel Hawkins,3.74,41549,464
9296,Feeling Lucky,M.S.M. Barkawitz,4.29,2931,464
9297,"The Fine Print (Dreamland Billionaires, #1)",Lauren Asher,3.83,559666,464
9298,The Invisible Life of Addie LaRue,Victoria E. Schwab,4.18,1198040,464
9299,I Let You Go,Clare Mackintosh,4.04,141816,464
9300,"The Dragon's Promise (Six Crimson Cranes, #2)",Elizabeth Lim,3.79,27484,464
9301,Snow in August,Pete Hamill,3.97,7136,463
9302,"Princess in Training (The Princess Diaries, #6)",Meg Cabot,3.72,34088,463
9303,"Dreams of the Ringed Vale (Luthiel's Song, #1)",Robert Fanney,3.66,2813,463
9304,Having Our Say: The Delany Sisters' First 100 Years,Sarah L. Delany,4.17,14124,463
