Index,Book Name,Author,Rating,Number of Votes,Score
374,"Allegiant (Divergent, #3)",Veronica Roth,3.6,1084429,36872
375,Love You Forever,Robert Munsch,4.37,240879,36829
376,"The Power of One (The Power of One, #1)",Bryce Courtenay,4.35,90686,36513
377,"If I Stay (If I Stay, #1)",Gayle Forman,3.92,929249,36396
378,"Harry Potter Series Box Set (Harry Potter, #1-7)",J.K. Rowling,4.74,292785,36380
379,The Complete Novels,Jane Austen,4.57,33556,36063
380,"Ignite Me (Shatter Me, #3)",Tahereh Mafi,4.46,541804,36047
381,Gulliver’s Travels,Jonathan Swift,3.58,281763,36011
382,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,4.19,548573,35858
383,"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly Jackson,4.31,1349522,35682
384,A Portrait of the Artist as a Young Man,James Joyce,3.64,155811,35448
385,It Ends with Us (It Ends with Us #1),Colleen Hoover,4.14,3919936,35225
386,Tuck Everlasting,Natalie Babbitt,3.9,281153,35195
387,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,3.83,878159,35016
388,11/22/63,Stephen King,4.34,569725,35003
389,"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,4.57,439754,34798
390,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,3.83,609281,34615
391,"A Child Called ""It"" (Dave Pelzer, #1)",Dave Pelzer,4.13,443543,34529
392,Bel Canto,Ann Patchett,3.93,295737,34375
