Index,Book Name,Author,Rating,Number of Votes,Score,isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
33,dracula,Bram Stoker,4.02,1325783,815099,9780393970128.0,0393970124,dracula,"Authoritative Text, Backgrounds, Reviews and Reactions, Dramatic and Film Variations, Criticism",Bram Stoker,Fiction,,This Norton Critical Edition presents fully annotated the text of the 1897 First Edition.,1997.0,3.99,488.0,724147.0
33,dracula,Bram Stoker,4.02,1325783,815099,9780743477369.0,0743477367,dracula,,Bram Stoker,Fiction,http://books.google.com/books/content?id=7jnX3BU6QBwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"A new edition of the classic horror novel features the immortal vampire count and his fellow creatures of the night, whose horrific thirst for blood leads him from the mountains of Central Europe to England, until the savvy Dr. Van Helsing comes up with a way to end his reign of terror. Reprint.",2003.0,3.99,528.0,9584.0
34,charlotte’s web,E.B. White,4.2,1904505,795867,,,,,,,,,,,,
35,"ender’s game (ender's saga, #1)",Orson Scott Card,4.31,1407510,789431,,,,,,,,,,,,
36,of mice and men,John Steinbeck,3.89,2629989,780959,9780140177398.0,0140177396,of mice and men,Kits for Teens,John Steinbeck,Fiction,http://books.google.com/books/content?id=YUhrILM9DOUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The tragic story of the friendship between two migrant workers, George and mentally retarded Lenny, and their dream of owning a farm",1993.0,3.86,107.0,15908.0
36,of mice and men,John Steinbeck,3.89,2629989,780959,9780582461468.0,0582461464,of mice and men,,John Steinbeck;Susan Shillinglaw,Cowboys,http://books.google.com/books/content?id=BiJiRgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Henry Green is a boy who loves chocolate. He likes it bitter, sweet, dark, light, and daily; for breakfast, lunch, dinner, and snacks; in cakes, candy bars, milk, and every other form you can possibly imagine. Henry probably loves chocolate more than any boy in the history of the world. One day -- it starts off like any other day -- Henry finds that strange things are happening to him. First he makes medical history with the only case of Chocolate Fever ever. Then he finds himself caught up in a wild and hilarious chase, climaxed by a very unusual hijacking From the Paperback edition.",2000.0,3.86,160.0,2088.0
37,fahrenheit 451,Ray Bradbury,3.96,2529995,767690,9780965020596.0,0965020592,fahrenheit 451,,Ray Bradbury,Book burning,,"A bookburner official in a future fascist state finds out books are a vital part of a culture he never knew. He clandestinely pursues reading, until he is betrayed.",2001.0,3.98,190.0,185.0
37,fahrenheit 451,Ray Bradbury,3.96,2529995,767690,9788445074879.0,8445074873,fahrenheit 451,,Ray Bradbury,Book burning,,,2004.0,3.98,186.0,5733.0
38,the catcher in the rye,J.D. Salinger,3.8,3636651,757073,9780316769488.0,0316769487,the catcher in the rye,,J.D. Salinger,Fiction,http://books.google.com/books/content?id=ZotvleqZomIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The ""brilliant, funny, meaningful novel"" (The New Yorker) that established J. D. Salinger as a leading voice in American literature--and that has instilled in millions of readers around the world a lifelong love of books. ""If you really want to hear about it, the first thing you'll probably want to know is where I was born, and what my lousy childhood was like, and how my parents were occupied and all before they had me, and all that David Copperfield kind of crap, but I don't feel like going into it, if you want to know the truth."" The hero-narrator of The Catcher in the Rye is an ancient child of sixteen, a native New Yorker named Holden Caufield. Through circumstances that tend to preclude adult, secondhand description, he leaves his prep school in Pennsylvania and goes underground in New York City for three days.",1991.0,3.8,234.0,18849.0
39,brave new world,Aldous Huxley,3.99,1920679,739126,9780060850524.0,0060850523,brave new world,,Aldous Huxley,Fiction,http://books.google.com/books/content?id=V4kY9WSCgSwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Huxley's classic prophetic novel describes the socialized horrors of a futuristic utopia devoid of individual freedom.,2006.0,3.98,259.0,12332.0
39,brave new world,Aldous Huxley,3.99,1920679,739126,9780060929879.0,0060929871,brave new world,,Aldous Huxley,Fiction,http://books.google.com/books/content?id=-iU5Aq3WuGgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Huxley's classic prophetic novel describes the socialized horrors of a futuristic utopia devoid of individual freedom,1998.0,3.98,288.0,1173739.0
40,one hundred years of solitude,Gabriel García Márquez,4.12,1006913,734119,9780060531041.0,0060531045,one hundred years of solitude,,Gabriel Garcia Marquez,Fiction,http://books.google.com/books/content?id=pgPWOaOctq8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"One of the 20th century's enduring works, One Hundred Years of Solitude is a widely beloved and acclaimed novel known throughout the world, and the ultimate achievement in a Nobel Prize–winning career. The novel tells the story of the rise and fall of the mythical town of Macondo through the history of the Buendía family. It is a rich and brilliant chronicle of life and death, and the tragicomedy of humankind. In the noble, ridiculous, beautiful, and tawdry story of the Buendía family, one sees all of humanity, just as in the history, myths, growth, and decay of Macondo, one sees all of Latin America. Love and lust, war and revolution, riches and poverty, youth and senility -- the variety of life, the endlessness of death, the search for peace and truth -- these universal themes dominate the novel. Whether he is describing an affair of passion or the voracity of capitalism and the corruption of government, Gabriel García Márquez always writes with the simplicity, ease, and purity that are the mark of a master. Alternately reverential and comical, One Hundred Years of Solitude weaves the political, personal, and spiritual to bring a new consciousness to storytelling. Translated into dozens of languages, this stunning work is no less than an accounting of the history of the human race.",2003.0,4.06,417.0,547207.0
40,one hundred years of solitude,Gabriel García Márquez,4.12,1006913,734119,9780061120091.0,006112009X,one hundred years of solitude,,Gabriel Garcia Marquez,Fiction,,"Tells the story of the Buendia family, set against the background of the evolution and eventual decadence of a small South American town.",2006.0,4.06,448.0,1510.0
40,one hundred years of solitude,Gabriel García Márquez,4.12,1006913,734119,9780140157512.0,0140157514,one hundred years of solitude,,Gabriel García Márquez;Gregory Rabassa,Latin America,http://books.google.com/books/content?id=Rac7PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This magical realist novel tells the history of the Buendias family, the founders of Macondo, a remote South American settlement. In the world of the novel there is a Spanish galleon beached in the jungle, a flying carpet, and an iguana in a woman's womb.",1996.0,4.06,422.0,588.0
40,one hundred years of solitude,Gabriel García Márquez,4.12,1006913,734119,9780140278767.0,0140278761,one hundred years of solitude,,Gabriel García Márquez;Gregory Rabassa,English,http://books.google.com/books/content?id=-MBhQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This magical realist novel tells the history of the Buendias family, the founders of Macondo, a remote South American settlement. In the world of the novel there is a Spanish galleon beached in the jungle, a flying carpet, and an iguana in a woman's womb. 'His masterpiece and one of the undeniable classics of the century.' The Times 'One of a glittering constellation of contemporary Latin American novelists ... He is the author of a classic on the grandest scale ... the most obvious comparison is with Homer's Odyssey ... Garcia Marquez is a spellbinder' Spectator",1998.0,4.06,422.0,954.0
40,one hundred years of solitude,Gabriel García Márquez,4.12,1006913,734119,9780141184999.0,014118499X,one hundred years of solitude,,Gabriel García Márquez,Latin America,http://books.google.com/books/content?id=m2dHPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Gabriel Garcia Marquez's great masterpiece is the story of seven generations of the Buenedia family and of Mocondo, the town they have built. Though little more than a settlement surrounded by mountains, Mocondo has its wars and disasters, even its wonders and miracles. A microcosm of Columbian life, its secrets lie hidden, encoded in a book and only Aureliano Buendia can fathom its mysteries and reveal its shrouded destiny. Blending political reality with magic realism, fantasy with comic invention, One Hundred Years of Solitudeis one of the most daringly original works of the twentieth century.",2000.0,4.06,422.0,1332.0
40,one hundred years of solitude,Gabriel García Márquez,4.12,1006913,734119,9780606349154.0,0606349154,one hundred years of solitude,,Gabriel Garcia Marquez;Gregory Rabassa,Fiction,http://books.google.com/books/content?id=VshEPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"One of the 20th century's enduring works, Marquez's masterpiece is the ultimate achievement in a Nobel Prize- winning career. Alternately reverential and comical, this novel weaves the political, personal, and spiritual to bring a new consciousness to storytelling.",2006.0,4.06,417.0,18.0
41,a thousand splendid suns,Khaled Hosseini,4.44,1593566,722631,,,,,,,,,,,,
42,the princess bride,William Goldman,4.27,915502,700360,9780345418265.0,0345418263,the princess bride,S. Morgenstern's Classic Tale of True Love and High Adventure,William Goldman,Fiction,http://books.google.com/books/content?id=RkFBPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In this 30th anniversary edition, Goldman frames the famous fairy tale with an ""autobiographical"" story: his father abridged the book as he read it to his son. Now, Goldman is publishing an abridged version, interspersed with comments on the parts he cut out.",2003.0,4.26,398.0,673146.0
44,the secret garden,Frances Hodgson Burnett,4.16,1212392,696653,9780517189603.0,0517189607,the secret garden,,Frances Hodgson Burnett,Juvenile Fiction,http://books.google.com/books/content?id=oGNbnTQdiJ4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,A ten-year-old orphan comes to live in a lonely house on the Yorkshire moors where she discovers an invalid cousin and the mysteries of a locked garden.,1998.0,4.13,331.0,725384.0
44,the secret garden,Frances Hodgson Burnett,4.16,1212392,696653,9781402713194.0,1402713193,the secret garden,,Martha Hailey Dubose;Frances Hodgson Burnett;Martha Hailey,Juvenile Fiction,http://books.google.com/books/content?id=6c9SbUMpQ-8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Presents an abridged version of the tale of ten-year-old Mary who, after the death of her parents, comes to live in a lonely house on the Yorkshire moors where she discovers an invalid cousin and the mysteries of a locked garden.",2005.0,4.3,160.0,1346.0
44,the secret garden,Frances Hodgson Burnett,4.16,1212392,696653,9781402714597.0,1402714599,the secret garden,,Frances Hodgson Burnett,Juvenile Fiction,http://books.google.com/books/content?id=f_9CD4Ox2AEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,A ten-year-old orphan comes to live in a lonely house on the Yorkshire moors where she discovers an invalid cousin and the mysteries of a locked garden.,2004.0,4.13,248.0,553.0
